miRNA_ID,miRNA_location,PCG,PCG_embl,lncRNA_embl,Intragenic/Intergenic,PCG_exon/intron,lncRNA_exon/intron
hsa-miR-6719,chr19:39829716-39829802[-],DYRK1B,ENSG00000105204,,Intragenic,intron,
hsa-miR-641,chr19:40282543-40282641[-],AKT2,ENSG00000105221,,Intragenic,intron,
hsa-miR-6796,chr19:40369846-40369907[+],PLD3,ENSG00000105223,,Intragenic,intron,
hsa-miR-6797,chr19:41869627-41869698[+],RPS19,ENSG00000105372,,Intragenic,intron,
hsa-miR-4323,chr19:42133445-42133513[-],POU2F2,ENSG00000028277,ENSG00000254887,Intragenic,intron,intron
hsa-miR-8077,chr19:42351131-42351205[+],MEGF8,ENSG00000105429,,Intragenic,intron,
hsa-miR-4531,chr19:44653686-44653732[-],PVR,ENSG00000073008,ENSG00000266903,Intragenic,intron,intron
hsa-miR-8085,chr19:44758657-44758721[+],BCL3,ENSG00000069399,,Intragenic,exon,
hsa-miR-6088,chr19:45436654-45436704[+],ERCC1,ENSG00000012061,,Intragenic,intron,
hsa-miR-330,chr19:45638994-45639087[-],EML2,ENSG00000125746,,Intragenic,exon,
hsa-miR-642a,chr19:45674928-45675024[+],GIPR,ENSG00000010310,,Intragenic,intron,
hsa-miR-642b,chr19:45674932-45675008[-],GIPR,ENSG00000010310,,Intragenic,intron,
hsa-miR-769,chr19:46018932-46019049[+],CCDC61,ENSG00000104983,,Intragenic,intron,
hsa-miR-3190,chr19:47226942-47227021[+],BBC3,ENSG00000105327,,Intragenic,exon,
hsa-miR-3191,chr19:47226944-47227019[-],BBC3,ENSG00000105327,,Intragenic,exon,
hsa-miR-6798,chr19:49009906-49009972[+],RUVBL2,ENSG00000183207,,Intragenic,intron,
hsa-miR-4324,chr19:49308797-49308868[-],SLC6A16,ENSG00000063127,,Intragenic,intron,
hsa-miR-150,chr19:49500785-49500868[-],,,,Intergenic,,
hsa-miR-5088,chr19:49682117-49682195[+],PRMT1,ENSG00000126457,,Intragenic,intron,
hsa-miR-6799,chr19:49791866-49791934[+],AP2A1,ENSG00000196961,,Intragenic,intron,
hsa-miR-6800,chr19:49832018-49832099[+],MED25,ENSG00000104973,,Intragenic,exon,
hsa-miR-4749,chr19:49854591-49854651[+],PTOV1,ENSG00000104960,ENSG00000268047,Intragenic,intron,intron
hsa-miR-4750,chr19:49888175-49888230[+],TBC1D17,ENSG00000104946,,Intragenic,exon,
hsa-miR-4751,chr19:49933064-49933137[+],ATF5,ENSG00000169136,,Intragenic,exon,
hsa-miR-8074,chr19:51206929-51207009[-],,,,Intergenic,,
hsa-miR-99b,chr19:51692612-51692681[+],SPACA6,ENSG00000182310,ENSG00000269959,Intragenic,exon,exon
hsa-let-7e,chr19:51692786-51692864[+],SPACA6,ENSG00000182310,ENSG00000269959,Intragenic,exon,exon
hsa-miR-125a,chr19:51693254-51693339[+],SPACA6,ENSG00000182310,ENSG00000269959,Intragenic,exon,exon
hsa-miR-6801,chr19:52222020-52222098[+],PPP2R1A,ENSG00000105568,,Intragenic,intron,
hsa-miR-643,chr19:52281797-52281893[+],ZNF766,ENSG00000196214,,Intragenic,intron,
hsa-miR-512-1,chr19:53666679-53666762[+],,,,Intergenic,,
hsa-miR-512-2,chr19:53669157-53669254[+],,,,Intergenic,,
hsa-miR-1323,chr19:53671968-53672040[+],,,,Intergenic,,
hsa-miR-498,chr19:53674197-53674320[+],,,,Intergenic,,
hsa-miR-520e,chr19:53675711-53675797[+],,,,Intergenic,,
hsa-miR-515-1,chr19:53679003-53679085[+],,,,Intergenic,,
hsa-miR-519e,chr19:53679940-53680023[+],,,,Intergenic,,
hsa-miR-520f,chr19:53682159-53682245[+],,,,Intergenic,,
hsa-miR-515-2,chr19:53685009-53685091[+],,,,Intergenic,,
hsa-miR-519c,chr19:53686469-53686555[+],,,,Intergenic,,
hsa-miR-1283-1,chr19:53688481-53688567[+],,,,Intergenic,,
hsa-miR-520a,chr19:53690881-53690965[+],,,,Intergenic,,
hsa-miR-526b,chr19:53694393-53694475[+],,,,Intergenic,,
hsa-miR-519b,chr19:53695213-53695293[+],,,,Intergenic,,
hsa-miR-525,chr19:53697533-53697617[+],,,,Intergenic,,
hsa-miR-523,chr19:53698385-53698471[+],,,,Intergenic,,
hsa-miR-518f,chr19:53700015-53700101[+],,,,Intergenic,,
hsa-miR-520b,chr19:53701227-53701287[+],,,,Intergenic,,
hsa-miR-518b,chr19:53702737-53702819[+],,,,Intergenic,,
hsa-miR-526a-1,chr19:53706252-53706336[+],,,,Intergenic,,
hsa-miR-520c,chr19:53707453-53707539[+],,,,Intergenic,,
hsa-miR-518c,chr19:53708735-53708835[+],,,,Intergenic,,
hsa-miR-524,chr19:53711002-53711088[+],,,,Intergenic,,
hsa-miR-517a,chr19:53712268-53712354[+],,,,Intergenic,,
hsa-miR-519d,chr19:53713347-53713434[+],,,,Intergenic,,
hsa-miR-521-2,chr19:53716594-53716680[+],,,,Intergenic,,
hsa-miR-520d,chr19:53720096-53720182[+],,,,Intergenic,,
hsa-miR-517b,chr19:53721076-53721142[+],,,,Intergenic,,
hsa-miR-520g,chr19:53722166-53722255[+],,,,Intergenic,,
hsa-miR-516b-2,chr19:53725442-53725526[+],,,,Intergenic,,
hsa-miR-526a-2,chr19:53726922-53726986[+],,,,Intergenic,,
hsa-miR-518e,chr19:53729838-53729925[+],,,,Intergenic,,
hsa-miR-518a-1,chr19:53731006-53731090[+],,,,Intergenic,,
hsa-miR-518d,chr19:53734877-53734963[+],,,,Intergenic,,
hsa-miR-516b-1,chr19:53736845-53736934[+],,,,Intergenic,,
hsa-miR-518a-2,chr19:53739333-53739419[+],,,,Intergenic,,
hsa-miR-517c,chr19:53741313-53741407[+],,,,Intergenic,,
hsa-miR-520h,chr19:53742512-53742599[+],,,,Intergenic,,
hsa-miR-521-1,chr19:53748636-53748722[+],,,,Intergenic,,
hsa-miR-522,chr19:53751211-53751297[+],,,,Intergenic,,
hsa-miR-519a-1,chr19:53752397-53752481[+],,,,Intergenic,,
hsa-miR-527,chr19:53754018-53754102[+],,,,Intergenic,,
hsa-miR-516a-1,chr19:53756741-53756830[+],,,,Intergenic,,
hsa-miR-1283-2,chr19:53758232-53758318[+],,,,Intergenic,,
hsa-miR-516a-2,chr19:53761133-53761222[+],,,,Intergenic,,
hsa-miR-519a-2,chr19:53762344-53762430[+],,,ENSG00000269842,Intragenic,,exon
hsa-miR-371a,chr19:53787675-53787741[+],,,ENSG00000269877,Intragenic,,exon
hsa-miR-371b,chr19:53787677-53787742[-],,,ENSG00000269877,Intragenic,,exon
hsa-miR-372,chr19:53787890-53787956[+],,,ENSG00000269877,Intragenic,,exon
hsa-miR-373,chr19:53788705-53788773[+],,,,Intergenic,,
hsa-miR-935,chr19:53982307-53982397[+],CACNG8,ENSG00000142408,,Intragenic,exon,
hsa-miR-4752,chr19:54282109-54282180[+],,,,Intergenic,,
hsa-miR-8061,chr19:54645309-54645383[+],LILRB4,ENSG00000186818,,Intragenic,intron,
hsa-miR-7975,chr19:55123225-55123292[-],,,,Intergenic,,
hsa-miR-6804,chr19:55230885-55230952[-],PPP6R1,ENSG00000105063,,Intragenic,intron,
hsa-miR-6802,chr19:55239912-55239976[-],PPP6R1,ENSG00000105063,,Intragenic,intron,
hsa-miR-6803,chr19:55245186-55245250[-],PPP6R1,ENSG00000105063,,Intragenic,intron,
hsa-miR-6805,chr19:55388181-55388242[+],RPL28,ENSG00000108107,,Intragenic,exon,
hsa-miR-6806,chr19:58334688-58334751[+],ZSCAN22,ENSG00000182318,,Intragenic,intron,
hsa-miR-4754,chr19:58386770-58386858[-],RPS5,ENSG00000083845,,Intragenic,intron,
hsa-miR-6807,chr19:58550285-58550376[+],TRIM28,ENSG00000130726,,Intragenic,intron,
hsa-miR-7158,chr2:5974662-5974732[+],,,ENSG00000232044,Intragenic,,intron
hsa-miR-7515,chr2:6650373-6650439[+],,,ENSG00000286851,Intragenic,,intron
hsa-miR-4261,chr2:10192614-10192671[-],RRM2,ENSG00000171848,,Intragenic,intron,
hsa-miR-4429,chr2:11540605-11540677[-],GREB1,ENSG00000196208,,Intragenic,intron,
hsa-miR-548s,chr2:11767444-11767525[+],LPIN1,ENSG00000134324,,Intragenic,intron,
hsa-miR-4262,chr2:11836933-11836986[-],,,ENSG00000224184,Intragenic,,intron
hsa-miR-3681,chr2:12199130-12199201[+],,,ENSG00000224184,Intragenic,,intron
hsa-miR-3125,chr2:12737367-12737444[+],TRIB2,ENSG00000071575,,Intragenic,intron,
hsa-miR-4757,chr2:19348429-19348505[+],,,,Intergenic,,
hsa-miR-1301,chr2:25328640-25328721[-],DNMT3A,ENSG00000119772,,Intragenic,intron,
hsa-miR-4263,chr2:27996367-27996449[+],BABAM2,ENSG00000158019,,Intragenic,intron,
hsa-miR-558,chr2:32532153-32532246[+],BIRC6,ENSG00000115760,,Intragenic,intron,
hsa-miR-4765,chr2:32635255-32635331[+],TTC27,ENSG00000018699,,Intragenic,intron,
hsa-miR-4430,chr2:33418516-33418564[+],,,,Intergenic,,
hsa-miR-548ad,chr2:35471405-35471486[+],,,,Intergenic,,
hsa-miR-559,chr2:47377675-47377770[+],EPCAM,ENSG00000119888,,Intragenic,intron,
hsa-miR-548ba,chr2:49059603-49059658[+],FSHR,ENSG00000170820,ENSG00000282890,Intragenic,intron,intron
hsa-miR-8485,chr2:50696172-50696262[-],NRXN1,ENSG00000179915,,Intragenic,intron,
hsa-miR-4431,chr2:52702522-52702615[-],,,,Intergenic,,
hsa-miR-3682,chr2:53849122-53849205[-],ASB3,ENSG00000115239,,Intragenic,intron,
hsa-miR-217,chr2:55982967-55983076[-],,,ENSG00000272180,Intragenic,,intron
hsa-miR-216a,chr2:55988950-55989059[-],,,ENSG00000272180,Intragenic,,intron
hsa-miR-216b,chr2:56000714-56000795[-],,,ENSG00000272180,Intragenic,,intron
hsa-miR-4432,chr2:60387362-60387445[-],,,ENSG00000228590,Intragenic,,intron
hsa-miR-5192,chr2:62205826-62205917[+],B3GNT2,ENSG00000170340,,Intragenic,intron,
hsa-miR-4433b,chr2:64340747-64340848[-],,,ENSG00000238201,Intragenic,,intron
hsa-miR-4433a,chr2:64340759-64340839[+],,,ENSG00000238201,Intragenic,,intron
hsa-miR-4434,chr2:64525513-64525565[+],AFTPH,ENSG00000119844,,Intragenic,intron,
hsa-miR-4778,chr2:66358249-66358328[-],,,,Intergenic,,
hsa-miR-3126,chr2:69103682-69103755[+],ANTXR1,ENSG00000169604,,Intragenic,intron,
hsa-miR-1285-2,chr2:70252918-70253005[-],,,,Intergenic,,
hsa-miR-5000,chr2:75090812-75090914[+],TACR1,ENSG00000115353,,Intragenic,intron,
hsa-miR-4264,chr2:79649294-79649359[-],CTNNA2,ENSG00000066032,,Intragenic,intron,
hsa-miR-8080,chr2:79866495-79866583[-],CTNNA2,ENSG00000066032,,Intragenic,intron,
hsa-miR-6071,chr2:85783600-85783677[-],ATOH8,ENSG00000168874,,Intragenic,intron,
hsa-miR-4779,chr2:86193026-86193108[-],IMMT,ENSG00000132305,,Intragenic,intron,
hsa-miR-4771-1,chr2:87194786-87194859[+],,,,Intergenic,,
hsa-miR-4435-1,chr2:87629755-87629834[+],,,ENSG00000284879,Intragenic,,intron
hsa-miR-4780,chr2:88082519-88082599[-],SMYD1,ENSG00000115593,,Intragenic,intron,
hsa-miR-4436a,chr2:88812370-88812454[+],,,ENSG00000240040,Intragenic,,intron
hsa-miR-3127,chr2:96798278-96798353[+],CNNM4,ENSG00000158158,,Intragenic,intron,
hsa-miR-5696,chr2:101309450-101309534[+],,,,Intergenic,,
hsa-miR-4772,chr2:102432289-102432366[+],IL18RAP,ENSG00000115607,,Intragenic,intron,
hsa-miR-4265,chr2:109141490-109141588[-],SH3RF3,ENSG00000172985,,Intragenic,intron,
hsa-miR-4266,chr2:109313571-109313625[-],SH3RF3,ENSG00000172985,,Intragenic,intron,
hsa-miR-4267,chr2:110069961-110070042[-],,,,Intergenic,,
hsa-miR-4436b-1,chr2:110086433-110086523[-],MALL,ENSG00000144063,,Intragenic,intron,
hsa-miR-4436b-2,chr2:110284853-110284943[+],,,ENSG00000282304,Intragenic,,intron
hsa-miR-4435-2,chr2:111321013-111321086[-],,,ENSG00000172965,Intragenic,,exon
hsa-miR-4771-2,chr2:111771061-111771134[-],ANAPC1,ENSG00000153107,,Intragenic,intron,
hsa-miR-1302-3,chr2:113582959-113583096[-],,,ENSG00000287165,Intragenic,,exon
hsa-miR-4782,chr2:113721290-113721368[-],SLC35F5,ENSG00000115084,,Intragenic,intron,
hsa-miR-4783,chr2:127423537-127423618[-],PROC,ENSG00000115718,,Intragenic,intron,
hsa-miR-4784,chr2:131491160-131491236[-],MZT2A,ENSG00000173272,,Intragenic,exon,
hsa-miR-663b,chr2:132256966-132257080[-],ANKRD30BL,ENSG00000163046,,Intragenic,intron,
hsa-miR-3679,chr2:134127125-134127192[+],MGAT5,ENSG00000152127,,Intragenic,intron,
hsa-miR-5590,chr2:134857820-134857873[+],ACMSD,ENSG00000153086,ENSG00000224043,Intragenic,intron,intron
hsa-miR-128-1,chr2:135665397-135665478[+],R3HDM1,ENSG00000048991,,Intragenic,intron,
hsa-miR-7157,chr2:140586626-140586685[-],LRP1B,ENSG00000168702,,Intragenic,intron,
hsa-miR-4773-2,chr2:151368334-151368411[-],TNFAIP6,ENSG00000123610,,Intragenic,intron,
hsa-miR-4773-1,chr2:151368334-151368411[+],TNFAIP6,ENSG00000123610,,Intragenic,intron,
hsa-miR-4773-2,chr2:151368334-151368411[-],TNFAIP6,ENSG00000123610,,Intragenic,intron,
hsa-miR-6888,chr2:159186835-159186901[+],TANC1,ENSG00000115183,,Intragenic,intron,
hsa-miR-4785,chr2:160407810-160407882[-],RBMS1,ENSG00000153250,,Intragenic,exon,
hsa-miR-4774,chr2:168582943-168583018[+],CERS6,ENSG00000172292,,Intragenic,intron,
hsa-miR-933,chr2:175167633-175167709[-],ATF2,ENSG00000115966,,Intragenic,intron,
hsa-miR-10b,chr2:176150303-176150412[+],HOXD3,ENSG00000128652,,Intragenic,intron,
hsa-miR-7704,chr2:176188843-176188901[+],HOXD1,ENSG00000128645,ENSG00000224189,Intragenic,exon,exon
hsa-miR-1246,chr2:176600980-176601052[-],,,ENSG00000224577,Intragenic,,intron
hsa-miR-4444-1,chr2:177212726-177212799[+],HNRNPA3,ENSG00000170144,,Intragenic,exon,
hsa-miR-3128,chr2:177255945-177256010[-],NFE2L2,ENSG00000116044,,Intragenic,intron,
hsa-miR-6512,chr2:177313806-177313882[-],NFE2L2,ENSG00000116044,ENSG00000213963,Intragenic,intron,intron
hsa-miR-1258,chr2:179860836-179860908[-],ZNF385B,ENSG00000144331,,Intragenic,intron,
hsa-miR-4437,chr2:181305593-181305652[-],,,ENSG00000234663,Intragenic,,intron
hsa-miR-548ae-1,chr2:184378975-184379044[+],,,ENSG00000286980,Intragenic,,intron
hsa-miR-561,chr2:188297492-188297588[+],GULP1,ENSG00000144366,ENSG00000231689,Intragenic,intron,intron
hsa-miR-1245a,chr2:188978092-188978161[+],COL3A1,ENSG00000168542,,Intragenic,intron,
hsa-miR-1245b,chr2:188978093-188978161[-],COL3A1,ENSG00000168542,,Intragenic,intron,
hsa-miR-3606,chr2:188995630-188995692[+],COL3A1,ENSG00000168542,,Intragenic,intron,
hsa-miR-3129,chr2:189133036-189133111[-],COL5A2,ENSG00000204262,,Intragenic,intron,
hsa-miR-3130-2,chr2:206783234-206783308[+],FASTKD2,ENSG00000118246,,Intragenic,intron,
hsa-miR-3130-1,chr2:206783234-206783308[-],FASTKD2,ENSG00000118246,,Intragenic,intron,
hsa-miR-3130-2,chr2:206783234-206783308[+],FASTKD2,ENSG00000118246,,Intragenic,intron,
hsa-miR-3130-1,chr2:206783234-206783308[-],FASTKD2,ENSG00000118246,,Intragenic,intron,
hsa-miR-2355,chr2:207109987-207110073[-],KLF7,ENSG00000118263,,Intragenic,intron,
hsa-miR-7845,chr2:207166400-207166498[+],KLF7,ENSG00000118263,ENSG00000229647,Intragenic,intron,intron
hsa-miR-1302-4,chr2:207269275-207269424[-],,,ENSG00000225064,Intragenic,,intron
hsa-miR-4775,chr2:207754807-207754881[+],CCNYL1,ENSG00000163249,,Intragenic,exon,
hsa-miR-548f-2,chr2:212426263-212426360[-],ERBB4,ENSG00000178568,,Intragenic,intron,
hsa-miR-4776-2,chr2:212926257-212926336[-],,,ENSG00000273118,Intragenic,,intron
hsa-miR-4776-1,chr2:212926257-212926336[+],,,ENSG00000273118,Intragenic,,intron
hsa-miR-4776-2,chr2:212926257-212926336[-],,,ENSG00000273118,Intragenic,,intron
hsa-miR-4776-1,chr2:212926257-212926336[+],,,ENSG00000273118,Intragenic,,intron
hsa-miR-4438,chr2:213758067-213758159[+],SPAG16,ENSG00000144451,,Intragenic,intron,
hsa-miR-6809,chr2:217900513-217900628[-],TNS1,ENSG00000079308,,Intragenic,intron,
hsa-miR-6513,chr2:218280125-218280188[-],TMBIM1,ENSG00000135926,,Intragenic,exon,
hsa-miR-6810,chr2:218341911-218341980[+],PNKD,ENSG00000127838,ENSG00000237281,Intragenic,exon,intron
hsa-miR-26b,chr2:218402646-218402722[+],CTDSP1,ENSG00000144579,,Intragenic,intron,
hsa-miR-9500,chr2:218823090-218823154[+],PRKAG3,ENSG00000115592,,Intragenic,intron,
hsa-miR-375,chr2:219001645-219001708[-],,,,Intergenic,,
hsa-miR-3131,chr2:219058688-219058750[-],IHH,ENSG00000163501,,Intragenic,intron,
hsa-miR-153-1,chr2:219294111-219294200[-],PTPRN,ENSG00000054356,,Intragenic,intron,
hsa-miR-3132,chr2:219549073-219549147[-],TMEM198,ENSG00000188760,,Intragenic,intron,
hsa-miR-4268,chr2:219906502-219906565[-],,,ENSG00000286199,Intragenic,,intron
hsa-miR-4439,chr2:225010461-225010540[-],DOCK10,ENSG00000135905,,Intragenic,intron,
hsa-miR-5702,chr2:226658710-226658793[-],,,,Intergenic,,
hsa-miR-5703,chr2:227472132-227472187[+],AGFG1,ENSG00000173744,,Intragenic,exon,
hsa-miR-4777,chr2:231362708-231362793[+],ARMC9,ENSG00000135931,,Intragenic,intron,
hsa-miR-1244-1,chr2:231713314-231713398[+],PTMA,ENSG00000187514,,Intragenic,exon,
hsa-miR-1471,chr2:231892242-231892298[-],,,,Intergenic,,
hsa-miR-562,chr2:232172653-232172747[+],DIS3L2,ENSG00000144535,,Intragenic,intron,
hsa-miR-5001,chr2:232550474-232550573[-],TIGD1,ENSG00000221944,,Intragenic,exon,
hsa-miR-6811,chr2:237510931-237510988[+],MLPH,ENSG00000115648,,Intragenic,intron,
hsa-miR-4440,chr2:239068817-239068914[-],HDAC4,ENSG00000068024,,Intragenic,intron,
hsa-miR-4441,chr2:239085827-239085926[-],HDAC4,ENSG00000068024,,Intragenic,intron,
hsa-miR-4269,chr2:239305462-239305545[+],HDAC4,ENSG00000068024,,Intragenic,intron,
hsa-miR-2467,chr2:239351724-239351804[-],HDAC4,ENSG00000068024,,Intragenic,intron,
hsa-miR-4786,chr2:239943015-239943094[-],NDUFA10,ENSG00000130414,,Intragenic,intron,
hsa-miR-149,chr2:240456001-240456089[+],GPC1,ENSG00000063660,ENSG00000218416,Intragenic,intron,intron
hsa-miR-3133,chr2:241477905-241477982[+],FARP2,ENSG00000006607,,Intragenic,intron,
hsa-miR-6869,chr20:1392900-1392961[-],FKBP1A,ENSG00000088832,,Intragenic,intron,
hsa-miR-1292,chr20:2652777-2652842[+],NOP56,ENSG00000101361,,Intragenic,intron,
hsa-miR-103a-2,chr20:3917494-3917571[+],PANK2,ENSG00000125779,,Intragenic,intron,
hsa-miR-103b-2,chr20:3917502-3917563[-],PANK2,ENSG00000125779,,Intragenic,intron,
hsa-miR-8062,chr20:7371608-7371692[+],,,,Intergenic,,
hsa-miR-6870,chr20:10649636-10649695[-],JAG1,ENSG00000101384,,Intragenic,intron,
hsa-miR-3192,chr20:18470615-18470691[+],POLR3F,ENSG00000132664,,Intragenic,intron,
hsa-miR-663a,chr20:26208186-26208278[-],,,ENSG00000227195,Intragenic,,intron
hsa-miR-3193,chr20:31607186-31607240[+],,,,Intergenic,,
hsa-miR-1825,chr20:32237795-32237847[+],POFUT1,ENSG00000101346,,Intragenic,exon,
hsa-miR-4755,chr20:34049119-34049190[+],RALY,ENSG00000125970,,Intragenic,intron,
hsa-miR-644a,chr20:34466325-34466418[+],ITCH,ENSG00000078747,,Intragenic,intron,
hsa-miR-499a,chr20:34990376-34990497[+],MYH7B,ENSG00000078814,,Intragenic,intron,
hsa-miR-499b,chr20:34990400-34990472[-],MYH7B,ENSG00000078814,,Intragenic,intron,
hsa-miR-1289-1,chr20:35453954-35454097[-],GDF5,ENSG00000125965,,Intragenic,intron,
hsa-miR-548o-2,chr20:38516563-38516632[+],RALGAPB,ENSG00000170471,,Intragenic,intron,
hsa-miR-6871,chr20:41169023-41169078[+],PLCG1,ENSG00000124181,,Intragenic,intron,
hsa-miR-3646,chr20:44408120-44408203[+],HNF4A,ENSG00000101076,,Intragenic,exon,
hsa-miR-6812,chr20:45425510-45425573[+],PIGT,ENSG00000124155,,Intragenic,intron,
hsa-miR-3617,chr20:45705102-45705180[-],WFDC13,ENSG00000168634,,Intragenic,intron,
hsa-miR-3616,chr20:47166967-47167058[+],EYA2,ENSG00000064655,,Intragenic,intron,
hsa-miR-645,chr20:50585786-50585879[+],,,,Intergenic,,
hsa-miR-1302-5,chr20:50614636-50614785[-],RIPOR3,ENSG00000042062,,Intragenic,intron,
hsa-miR-3194,chr20:51452905-51452977[-],NFATC2,ENSG00000101096,,Intragenic,intron,
hsa-miR-4756,chr20:54068408-54068485[-],BCAS1,ENSG00000064787,,Intragenic,intron,
hsa-miR-4325,chr20:57321502-57321591[-],,,,Intergenic,,
hsa-miR-296,chr20:58817615-58817694[-],,,ENSG00000268649,Intragenic,,intron
hsa-miR-298,chr20:58818226-58818313[-],,,,Intergenic,,
hsa-miR-646,chr20:60308474-60308567[+],,,ENSG00000228340,Intragenic,,intron
hsa-miR-4533,chr20:60478111-60478181[+],,,ENSG00000228340,Intragenic,,intron
hsa-miR-548ag-2,chr20:60564562-60564625[+],,,ENSG00000228340,Intragenic,,intron
hsa-miR-1257,chr20:61953546-61953662[-],TAF4,ENSG00000130699,,Intragenic,exon,
hsa-miR-3195,chr20:62064802-62064885[+],TAF4,ENSG00000130699,,Intragenic,exon,
hsa-miR-4758,chr20:62332487-62332557[-],LAMA5,ENSG00000130702,,Intragenic,intron,
hsa-miR-1-1,chr20:62554306-62554376[+],,,ENSG00000174407,Intragenic,,intron
hsa-miR-133a-2,chr20:62564912-62565013[+],,,ENSG00000174407,Intragenic,,exon
hsa-miR-124-3,chr20:63178500-63178586[+],,,ENSG00000231977,Intragenic,,intron
hsa-miR-3196,chr20:63238779-63238842[+],BIRC7,ENSG00000101197,,Intragenic,intron,
hsa-miR-4326,chr20:63286808-63286866[+],ARFGAP1,ENSG00000101199,,Intragenic,intron,
hsa-miR-941-1,chr20:63919449-63919520[+],DNAJC5,ENSG00000101152,ENSG00000290226,Intragenic,exon,intron
hsa-miR-941-2,chr20:63919505-63919576[+],DNAJC5,ENSG00000101152,ENSG00000290226,Intragenic,exon,intron
hsa-miR-941-3,chr20:63919561-63919632[+],DNAJC5,ENSG00000101152,ENSG00000290226,Intragenic,exon,intron
hsa-miR-941-4,chr20:63919756-63919827[+],DNAJC5,ENSG00000101152,ENSG00000290226,Intragenic,exon,intron
hsa-miR-941-5,chr20:63919868-63919939[+],DNAJC5,ENSG00000101152,ENSG00000290226,Intragenic,exon,intron
hsa-miR-1914,chr20:63941465-63941544[-],UCKL1,ENSG00000198276,,Intragenic,exon,
hsa-miR-647,chr20:63942631-63942726[-],UCKL1,ENSG00000198276,,Intragenic,intron,
hsa-miR-6813,chr20:64076955-64077010[-],RGS19,ENSG00000171700,,Intragenic,intron,
hsa-miR-8069-1,chr21:6859171-6859256[+],,,,Intergenic,,
hsa-miR-6724-1,chr21:8205315-8205406[+],,,ENSG00000278996,Intragenic,,intron
hsa-miR-3648-1,chr21:8208473-8208652[+],,,ENSG00000278996,Intragenic,,intron
hsa-miR-6724-2,chr21:8249505-8249596[+],,,,Intergenic,,
hsa-miR-6724-3,chr21:8388362-8388453[+],,,ENSG00000280441,Intragenic,,intron
hsa-miR-6724-4,chr21:8432530-8432621[+],,,ENSG00000280441,Intragenic,,intron
hsa-miR-3648-2,chr21:8986999-8987178[+],,,,Intergenic,,
hsa-miR-3156-3,chr21:13406384-13406460[-],,,,Intergenic,,
hsa-miR-3118-1,chr21:13644775-13644850[-],POTED,ENSG00000166351,,Intragenic,intron,
hsa-miR-8069-2,chr21:13724189-13724274[+],,,,Intergenic,,
hsa-miR-99a,chr21:16539089-16539169[+],,,ENSG00000215386,Intragenic,,intron
hsa-let-7c,chr21:16539828-16539911[+],,,ENSG00000215386,Intragenic,,intron
hsa-miR-125b-2,chr21:16590237-16590325[+],,,ENSG00000215386,Intragenic,,intron
hsa-miR-548x,chr21:18686090-18686164[-],,,ENSG00000224141,Intragenic,,intron
hsa-miR-6130,chr21:23079284-23079392[+],,,ENSG00000230972,Intragenic,,intron
hsa-miR-155,chr21:25573980-25574044[+],,,ENSG00000234883,Intragenic,,intron
hsa-miR-4759,chr21:26953961-26954043[+],ADAMTS5,ENSG00000154736,,Intragenic,intron,
hsa-miR-4327,chr21:30375294-30375378[-],,,,Intergenic,,
hsa-miR-6501,chr21:33550662-33550728[+],SON,ENSG00000159140,,Intragenic,intron,
hsa-miR-802,chr21:35720715-35720808[+],RUNX1,ENSG00000159216,ENSG00000230794,Intragenic,intron,intron
hsa-miR-6508,chr21:39447010-39447069[+],GET1-SH3BGR,ENSG00000285815,,Intragenic,intron,
hsa-miR-4760,chr21:40212352-40212431[-],DSCAM,ENSG00000171587,,Intragenic,intron,
hsa-miR-3197,chr21:41167557-41167629[+],,,,Intergenic,,
hsa-miR-6814,chr21:41746772-41746841[-],RIPK4,ENSG00000183421,,Intragenic,intron,
hsa-miR-5692b,chr21:42950928-42951014[-],,,,Intergenic,,
hsa-miR-6070,chr21:43609887-43609989[-],HSF2BP,ENSG00000160207,,Intragenic,intron,
hsa-miR-6815,chr21:45478266-45478326[+],COL18A1,ENSG00000182871,,Intragenic,intron,
hsa-miR-3198-1,chr22:17764180-17764259[-],BID,ENSG00000015475,,Intragenic,intron,
hsa-miR-648,chr22:17980868-17980961[-],MICAL3,ENSG00000243156,,Intragenic,intron,
hsa-miR-4761,chr22:19963753-19963834[+],COMT,ENSG00000093010,,Intragenic,intron,
hsa-miR-185,chr22:20033139-20033220[+],TANGO2,ENSG00000183597,,Intragenic,intron,
hsa-miR-3618,chr22:20085746-20085833[+],DGCR8,ENSG00000128191,,Intragenic,exon,
hsa-miR-1306,chr22:20086058-20086142[+],DGCR8,ENSG00000128191,,Intragenic,exon,
hsa-miR-6816,chr22:20114686-20114751[-],TRMT2A,ENSG00000099899,,Intragenic,intron,
hsa-miR-1286,chr22:20249134-20249211[-],RTN4R,ENSG00000040608,,Intragenic,intron,
hsa-miR-649,chr22:21034176-21034272[-],,,ENSG00000226872,Intragenic,,intron
hsa-miR-301b,chr22:21652981-21653058[+],,,ENSG00000207751,Intragenic,,intron
hsa-miR-130b,chr22:21653304-21653385[+],,,ENSG00000207751,Intragenic,,exon
hsa-miR-650,chr22:22822776-22822871[+],IGLV2-8,ENSG00000278196,,Intragenic,intron,
hsa-miR-5571,chr22:22886267-22886379[+],,,,Intergenic,,
hsa-miR-6817,chr22:25455646-25455711[+],,,ENSG00000291087,Intragenic,,intron
hsa-miR-548j,chr22:26555212-26555323[-],TPST2,ENSG00000128294,,Intragenic,intron,
